endTime,artistName,trackName,msPlayed
2020-08-27 01:46,Lapalux,Midnight Peelers,212499
2020-08-27 01:46,Peggy Gou,Starry Night - Original Mix,8074
2020-08-27 01:51,Jacques Greene,Fever Focus,274549
2020-08-27 01:55,Jacques Greene,Convex Mirror,279353
2020-08-27 02:02,DOS,Red Moon,433763
2020-08-27 03:55,Jacques Greene,Nordschleife,9314
2020-08-27 04:00,DOS,Lucid Dreams,348444
2020-08-27 04:06,DOS,Need U,357826
2020-08-27 04:12,DOS,Red Moon,366000
2020-08-27 04:13,George FitzGerald,Burns - DJ Seinfeld Remix,44223
2020-08-27 04:49,Purity Ring,rubyinsides,5897
2020-08-27 04:54,Purity Ring,pink lightning,254906
2020-08-27 04:58,Purity Ring,peacefall,256213
2020-08-27 05:01,Purity Ring,i like the devil,175186
2020-08-27 05:02,Purity Ring,femia,14297
2020-08-27 05:05,Purity Ring,sinew,204318
2020-08-27 05:09,Purity Ring,silkspun,26829
2020-08-27 05:09,Purity Ring,vehemence,227400
2020-08-27 05:12,Purity Ring,i like the devil,175186
2020-08-27 05:12,Purity Ring,femia,1122
2020-08-27 05:17,Purity Ring,i like the devil,318252
2020-08-27 05:20,Purity Ring,i like the devil,175186
2020-08-27 05:21,Purity Ring,femia,22322
2020-08-27 07:05,Purity Ring,Crawlersout,52360
2020-08-27 19:27,Timecop1983,Tonight,304483
2020-08-27 19:32,Timecop1983,Closer,307278
2020-08-27 19:33,Timecop1983,In Your Arms,62522
2020-08-27 19:34,Timecop1983,On the Run,13374
2020-08-27 19:34,Timecop1983,Waves,7221
2020-08-27 19:40,Timecop1983,Cruise,354015
2020-08-27 19:42,Timecop1983,Neon Lights,109594
2020-08-27 20:48,Lapalux,Midnight Peelers,212499
2020-08-27 20:52,Jacques Greene,Fever Focus,274549
2020-08-27 20:57,Jacques Greene,Nordschleife,3918
2020-08-27 20:57,Jacques Greene,Convex Mirror,279353
2020-08-27 21:03,DOS,Red Moon,366000
2020-08-27 21:10,George FitzGerald,Burns - DJ Seinfeld Remix,431375
2020-08-27 21:45,George FitzGerald,Burns,156940
2020-08-27 21:50,DOS,Lucid Dreams,348444
2020-08-27 22:01,DOS,Need U,269797
2020-08-27 22:09,Grimes,Realiti,306532
2020-08-27 22:14,Grimes,REALiTi (Demo),264271
2020-08-27 22:19,Grimes,Realiti,306532
2020-08-27 22:23,Grimes,REALiTi (Demo),267130
2020-08-27 22:28,Brothertiger,Everybody Wants to Rule the World,261000
2020-08-27 22:33,Cocteau Twins,Pink Orange Red,282866
2020-08-27 22:34,Cocteau Twins,Orange Appled,64223
2020-08-27 22:38,SiR,D'Evils,19321
2020-08-27 22:38,Washed Out,Too Late,252409
2020-08-27 22:43,Bronski Beat,Smalltown Boy,302413
2020-08-27 22:47,Tennis,Swimmer,250146
2020-08-27 22:51,Tennis,How to Forgive,216306
2020-08-27 22:53,Day Wave,Drag,11425
2020-08-27 22:58,Fazerdaze,Lucky Girl,174409
2020-08-27 23:03,Fazerdaze,Little Uneasy,224000
2020-08-27 23:08,Hazel English,Never Going Home,233961
2020-08-27 23:14,Jacques Greene,On Your Side - Radio Version,254830
2020-08-27 23:16,Jacques Greene,On Your Side - Full Version,150798
2020-08-27 23:24,Jacques Greene,Faithful,379621
2020-08-27 23:29,Jacques Greene,Quicksand,300476
2020-08-27 23:32,Baltra,You Give Me Love,186268
2020-08-27 23:33,Floating Points,Vacuum Boogie,53072
2020-08-27 23:37,FKA twigs,holy terrain,243000
2020-08-28 00:55,FKA twigs,mary magdalene,274596
2020-08-28 00:58,Baltra,You Give Me Love,186268
2020-08-28 00:59,Baltra,Ahead Of Time,71957
2020-08-28 01:00,박혜진 Park Hye Jin,Like this,4693
2020-08-28 01:00,Against All Logic,If Loving You Is Wrong,981
2020-08-28 01:02,Jacques Greene,Do It Without You,158976
2020-08-28 07:29,DOS,Red Moon,362776
2020-08-28 07:33,DOS,I Know You,228646
2020-08-28 07:38,DOS,Lörelei,315361
2020-08-28 07:41,DOS,Lucid Dreams,185063
2020-08-28 07:50,DOS,Red Moon,183495
2020-08-28 08:10,DOS,Lucid Dreams,278709
2020-08-28 18:31,Timecop1983,Cruise,354015
2020-08-28 18:35,Timecop1983,Neon Lights,239333
2020-08-28 18:36,Timecop1983,Afterglow,48195
2020-08-28 19:51,Grimes,REALiTi (Demo),261921
2020-08-28 19:56,Grimes,Realiti,296727
2020-08-28 20:00,Grimes,Violence - Original Mix,287072
2020-08-28 20:05,Grimes,Oblivion,251266
2020-08-28 20:08,Grimes,Genesis,196292
2020-08-29 00:28,Grimes,Genesis,244041
2020-08-29 00:30,Grimes,Oblivion,145983
2020-08-29 18:41,Grimes,Eight,31343
2020-08-29 18:41,Grimes,Oblivion,251266
2020-08-29 18:46,Grimes,Oblivion,5811
2020-08-29 18:46,Grimes,Genesis,255320
2020-08-29 18:50,Washed Out,Too Late,252409
2020-08-29 18:53,Washed Out,Paralyzed,201245
2020-08-29 18:54,Washed Out,It All Feels Right,10998
2020-08-29 18:57,Washed Out,Paralyzed,201245
2020-08-29 19:01,Washed Out,Reckless Desires,264269
2020-08-29 19:06,Washed Out,Haunt,283340
2020-08-29 19:10,Washed Out,Echoes,229227
2020-08-29 20:38,Washed Out,Echoes,248200
2020-08-29 20:43,Washed Out,Before,286413
2020-08-29 20:44,Washed Out,Amor Fati,95087
2020-08-30 18:49,Beach House,Levitation,116
2020-08-30 18:54,Beach House,Levitation,354600
2020-08-30 19:00,Beach House,Sparks,321133
2020-08-30 19:05,Beach House,Space Song,320466
2020-08-30 19:08,Beach House,Beyond Love,183141
2020-08-30 19:13,Beach House,Myth,258653
2020-08-30 19:17,Beach House,Wild,298320
2020-08-30 19:22,Beach House,Lazuli,301866
2020-08-30 19:27,Beach House,Other People,264626
2020-08-30 19:29,Beach House,The Hours,137585
2020-08-30 19:31,Beach House,New Year,81130
2020-08-30 19:35,Beach House,Lemon Glow,244946
2020-08-30 19:35,Beach House,L'Inconnue,6525
2020-08-30 19:39,Beach House,Girl Of The Year,231360
2020-08-30 21:10,Beach House,Last Ride,6156
2020-08-30 21:15,Grimes,Realiti,306532
2020-08-30 21:21,Grimes,World Princess part II,305752
2020-08-30 21:24,Tame Impala,The Less I Know The Better,216320
2020-08-30 21:29,Tame Impala,Yes I'm Changing,270680
2020-08-30 21:31,Tame Impala,Nangs,107533
2020-08-30 21:34,Tame Impala,Love/Paranoia,185773
2020-08-30 21:35,Grimes,Venus Fly,56224
2020-08-30 21:56,Grimes,Violence - Original Mix,135906
2020-08-30 22:00,Grimes,Violence - Original Mix,220616
2020-08-30 22:04,Grimes,Delete Forever,237480
2020-08-30 22:10,Grimes,You'll miss me when I'm not around,161691
2020-08-30 22:17,Grimes,So Heavy I Fell Through the Earth - Art Mix,368277
2020-08-30 22:34,Phuong Anh,Con Đường Xưa Em Đi,298849
2020-08-30 22:38,Lapalux,Midnight Peelers,212499
2020-08-30 22:43,Jacques Greene,Nordschleife,283049
2020-08-30 22:48,DOS,Lucid Dreams,348444
2020-08-30 22:54,Ross from Friends,Epiphany,324086
2020-08-30 22:59,Caribou,Never Come Back,305480
2020-08-30 23:03,Washed Out,Too Late,252409
2020-08-30 23:08,Jacques Greene,Fever Focus,10828
2020-08-30 23:08,DIIV,Doused,222973
2020-08-31 02:25,DJ Seinfeld,U,288089
2020-08-31 02:25,DJ Seinfeld,U,464
2020-08-31 02:27,DJ Seinfeld,U,79798
2020-08-31 02:31,DJ Seinfeld,Electrian,240996
2020-08-31 07:15,Blood Orange,Chamakay,260106
2020-08-31 07:19,Blood Orange,You're Not Good Enough,261360
2020-08-31 07:23,Blood Orange,Uncle ACE,256693
2020-08-31 07:27,Blood Orange,No Right Thing,232604
2020-08-31 07:32,Blood Orange,It Is What It Is,307400
2020-08-31 07:39,Blood Orange,Chosen,404480
2020-08-31 07:42,Blood Orange,Clipped On,190906
2020-08-31 07:58,Blood Orange,Always Let U Down,481757
2020-08-31 08:01,Blood Orange,High Street,178040
2020-08-31 08:05,Blood Orange,Chosen,236705
2020-08-31 19:46,Washed Out,Paralyzed,201245
2020-08-31 19:50,Solange,Losing You,260399
2020-08-31 19:51,Solange,Looks Good With Trouble,90826
2020-08-31 19:57,Solange,Bad Girls - Verdine Version,310546
2020-08-31 20:01,Washed Out,Reckless Desires,264269
2020-08-31 20:02,Washed Out,Game of Chance,90167
2020-08-31 20:08,Washed Out,Haunt,307525
2020-08-31 20:12,Washed Out,Haunt,287439
2020-08-31 21:27,Washed Out,You and I,116
2020-08-31 21:32,Washed Out,Before,286413
2020-08-31 21:33,Washed Out,You and I,45957
2020-08-31 21:33,Washed Out,Reckless Desires,3808
2020-08-31 21:36,Washed Out,Paralyzed,201245
2020-08-31 21:41,Washed Out,Reckless Desires,264269
2020-08-31 21:42,Washed Out,Game of Chance,75882
2020-08-31 21:46,Alina Baraz,Frank,214926
2020-08-31 21:50,Grimes,REALiTi (Demo),267130
2020-08-31 21:54,Washed Out,Too Late,252409
2020-08-31 21:57,DIIV,Sometime,185600
2020-08-31 22:01,Cocteau Twins,Crushed,200200
2020-08-31 22:03,Shura,Make It Up,116389
2020-09-01 00:46,Shura,Make It Up,94999
2020-09-01 00:48,Shura,What's It Gonna Be?,145291
2020-09-01 02:01,Shura,Make It Up,116
2020-09-01 02:01,Shura,Make It Up,23
2020-09-01 02:17,Shura,Make It Up,297702
2020-09-01 02:18,Shura,2Shy,35481
2020-09-01 02:18,Shura,Indecision,3343
2020-09-01 02:21,Shura,What's It Gonna Be?,214754
2020-09-01 02:25,Shura,Indecision,212075
2020-09-01 02:29,Shura,Nothing's Real,247900
2020-09-01 02:29,Shura,Touch,0
2020-09-01 02:33,Shura,Touch,214555
2020-09-01 02:38,Shura,Indecision,164
2020-09-01 02:38,Shura,Kidz 'N' Stuff,310003
2020-09-01 02:40,Shura,Kidz 'N' Stuff,115834
2020-09-01 02:42,Shura,Indecision,134500
2020-09-01 05:21,Shura,Indecision,212075
2020-09-01 05:22,Shura,What Happened To Us?,68677
2020-09-01 18:53,Shura,Indecision,212075
2020-09-01 18:54,Shura,What Happened To Us?,61525
2020-09-01 18:58,Shura,What's It Gonna Be?,214754
2020-09-01 19:01,Shura,Touch,214555
2020-09-01 19:02,Shura,Kidz 'N' Stuff,59214
2020-09-01 19:08,Timecop1983,Neon Lights,24469
2020-09-01 19:08,Timecop1983,Cruise,354015
2020-09-01 19:13,Timecop1983,Tonight,304483
2020-09-01 19:19,Timecop1983,Closer,307278
2020-09-01 19:19,Timecop1983,In Your Arms,10277
2020-09-01 20:06,Washed Out,Before,286413
2020-09-01 20:13,Washed Out,You and I,467549
2020-09-01 20:21,Washed Out,Haunt,4086
2020-09-01 20:21,Washed Out,Too Late,3622
2020-09-01 20:21,Washed Out,Reckless Desires,928
2020-09-01 20:21,Washed Out,Echoes,449864
2020-09-01 20:21,Washed Out,Time to Walk Away,10481
2020-09-01 20:25,Washed Out,Paralyzed,201245
2020-09-01 20:26,Washed Out,Too Late,104665
2020-09-01 21:37,Washed Out,Too Late,147744
2020-09-01 21:42,Washed Out,Reckless Desires,264269
2020-09-01 21:47,Washed Out,Haunt,310413
2020-09-01 21:54,Bicep,Dahlia,407070
2020-09-02 19:10,Grimes,Genesis,255320
2020-09-02 19:14,Grimes,Oblivion,251266
2020-09-02 19:16,Grimes,Circumambient,13543
2020-09-02 19:16,Grimes,Eight,107853
2020-09-02 19:20,Grimes,Flesh without Blood,264523
2020-09-02 19:24,Grimes,Kill V. Maim,39609
2020-09-02 19:24,Grimes,Belly of the Beat,205567
2020-09-02 19:30,Grimes,Realiti,306532
2020-09-02 19:35,Grimes,Venus Fly,22780
2020-09-02 19:35,Grimes,World Princess part II,305752
2020-09-02 19:39,Grimes,Butterfly,252558
2020-09-02 19:42,Grimes,Darkseid,138344
2020-09-02 19:46,Grimes,Delete Forever,237480
2020-09-02 19:49,Grimes,Violence - Original Mix,220616
2020-09-02 19:52,Grimes,4ÆM,197053
2020-09-02 19:54,GoldLink,Days Like This (feat. Khalid),60766
2020-09-02 19:57,Wale,On Chill (feat. Jeremih),214035
2020-09-02 19:57,Wale,Love... (Her Fault) [feat. Bryson Tiller],15023
2020-09-02 19:59,Solange,Looks Good With Trouble,90826
2020-09-02 20:01,Solange,Bad Girls - Verdine Version,142139
2020-09-02 20:54,Solange,Bad Girls - Verdine Version,307223
2020-09-02 20:57,Washed Out,Paralyzed,201245
2020-09-02 21:02,Washed Out,Reckless Desires,264269
2020-09-02 21:06,Washed Out,Haunt,140527
2020-09-02 21:12,Washed Out,Paralyzed,381225
2020-09-02 21:16,Washed Out,Echoes,248200
2020-09-02 21:47,Washed Out,Amor Fati,4409
2020-09-02 21:52,Caribou,Never Come Back,305480
2020-09-02 21:55,KAYTRANADA,GOT IT GOOD,228146
2020-09-02 22:00,KAYTRANADA,DRIVE ME CRAZY,277786
2020-09-02 22:01,KAYTRANADA,LITE SPOTS,21640
2020-09-02 22:01,Caribou,Home,40745
2020-09-02 22:01,KAYTRANADA,VIVID DREAMS,139
2020-09-02 22:05,KAYTRANADA,Taste,217320
2020-09-02 22:08,KAYTRANADA,Freefall,181160
2020-09-02 22:12,KAYTRANADA,The Worst In Me,226720
2020-09-02 22:15,KAYTRANADA,10%,186680
2020-09-02 22:18,KAYTRANADA,Vex Oh (feat. Eight9FLY),162146
2020-09-02 22:21,KAYTRANADA,Oh No,147620
2020-09-02 22:25,Purity Ring,vehemence,274475
2020-09-02 22:28,Purity Ring,i like the devil,175186
2020-09-02 22:32,Purity Ring,pink lightning,254906
2020-09-02 22:36,Purity Ring,peacefall,191510
2020-09-02 22:40,Purity Ring,Grandloves (feat. Young Magic),273066
2020-09-02 22:44,Purity Ring,stardew,246653
2020-09-02 22:48,Purity Ring,Obedear,209573
2020-09-02 22:52,POLIÇA,Lay Your Cards Out,244426
2020-09-02 22:55,POLIÇA,Amongster,204573
2020-09-02 22:55,FKA twigs,mary magdalene,975
2020-09-02 22:59,FKA twigs,holy terrain,243000
2020-09-02 23:05,FKA twigs,fallen alien,43088
2020-09-02 23:05,FKA twigs,mary magdalene,321066
2020-09-02 23:11,Toro y Moi,Mirage,309226
2020-09-02 23:11,Toro y Moi,No Show,12439
2020-09-02 23:16,Mild Minds,DESTINATIONS - Jacques Greene Remix,316721
2020-09-02 23:16,DJ Seinfeld,Lovejoy,1857
2020-09-02 23:16,DJ Seinfeld,Lilium,14498
2020-09-02 23:22,Rhye,Song For You - Jacques Greene Remix,337302
2020-09-02 23:27,KAZU,Meo - Jacques Greene Remix,303706
2020-09-02 23:34,Autre Ne Veut,Play By Play - Jacques Greene Remix,411786
2020-09-02 23:38,Zola Blood,Two Hearts (Jacques Greene Remix) - Edit,245901
2020-09-02 23:44,OTHERLiiNE,Hates Me - Jacques Greene Remix,367835
2020-09-02 23:45,Amtrac,No Place (feat. Lali Puna) - Jacques Greene Remix,23399
2020-09-03 17:24,Amtrac,No Place (feat. Lali Puna) - Jacques Greene Remix,9241
2020-09-03 17:26,OTHERLiiNE,Hates Me - Jacques Greene Remix,128731
